Microzona,A_0(g),\phi,\beta,T_A(s),T_0(s),T^*(s),T_D(s),m,p
R1-T0,0.3,1,2.3,0.02,0.1,0.3,2.8,0,1
R2-T0,0.265,1,2.35,0.02,0.1,0.38,2.8,0,1
R3-T0,0.28,1,2.35,0.02,0.1,0.38,2.8,0,1
R7-T0,0.3,1,2.35,0.02,0.11,0.4,3,0,1
R1-T1,0.3,1.2,2.3,0.02,0.1,0.28,2.5,0,1
R2-T1,0.265,1.2,2.35,0.02,0.1,0.35,2.6,0,1
R3-T1,0.28,1.2,2.35,0.02,0.1,0.35,2.6,0,1
R7-T1,0.3,1.2,2.35,0.02,0.11,0.38,2.8,0,1
R1-T2,0.3,1.4,2.3,0.02,0.1,0.26,2.3,0,1
R2-T2,0.265,1.4,2.35,0.02,0.1,0.32,2.5,0,1
R3-T2,0.28,1.4,2.35,0.02,0.1,0.32,2.5,0,1
R7-T2,0.3,1.4,2.35,0.02,0.11,0.35,2.6,0,1
1-1,0.3,1.55,2.1,0.02,0.12,0.55,2,0.07,1.4
1-2,0.3,1.4,2.3,0.02,0.18,0.65,1.9,0.12,1.35
1-3,0.3,1,2.8,0.03,0.25,0.7,1.8,0.2,1
2-1,0.265,1.55,2.3,0.02,0.15,0.55,2,0,1.35
2-2,0.265,1.4,2.6,0.02,0.2,0.65,1.85,0.05,1.25
2-3,0.265,1,3,0.03,0.3,0.75,1.8,0.12,0.85
3-1,0.28,1.5,2.1,0.03,0.1,0.55,2.6,-0.05,1.4
3-2,0.28,1.4,2.45,0.03,0.18,0.7,2,0.08,1.3
3-3,0.28,1.1,2.8,0.04,0.3,0.75,2,0.12,1
4-1,0.28,1.2,2.1,0.03,0.09,0.55,2,-0.12,1.1
4-2,0.28,1.2,2.35,0.03,0.18,0.7,1.9,-0.05,1.1
4-3,0.28,1.05,2.3,0.02,0.15,0.55,2,0,0.75
5-1,0.28,1.2,2.1,0.03,0.09,0.6,1.5,-0.1,0.65
5-2,0.28,1.15,1.8,0.03,0.1,0.7,1.5,-0.2,0.55
5-3,0.28,0.95,2.3,0.04,0.3,1,1.8,-0.15,0.75
6-1,0.28,1.1,2.2,0.03,0.1,0.7,1.8,-0.12,0.8
6-2,0.28,1.1,1.8,0.03,0.1,0.75,1.8,-0.25,0.75
6-3,0.28,0.9,2.5,0.03,0.4,1,2,-0.2,0.65
7-1,0.3,1.55,2.2,0.02,0.15,0.55,2.5,-0.05,1.4
7-2,0.3,1.55,2.3,0.02,0.15,0.55,2,0,1.3
7-3,0.3,1,3,0.03,0.3,0.8,2,0.2,0.85
